Primrose	Primula vulgaris	1
Privet	Ligustrum japonicum	1
Purslane	Portulaca oleracea	1
Racemose asparagus	Asparagus densiflorus cv sprengeri	1
Ragwort	Senecio species	1
Ranger's Button	Sphenosciadium capitellatum	1
Red Emerald	Philodendron bipennifolium	1
Red Lily	Lilium umbellatum	1
Red Princess	Philodendron bipennifolium	1
Red-Marginated Dracaena	Dracaena marginata	1
Rex Begonia	Begonia rex	1
Rhododendron	Rhododendron spp	1
Rhubarb	Rheum rhabarbarium	1
Ribbon Plant	Dracaena spp.	1
Ridderstjerne	Hippeastrum spp.	1
Rock Moss	Portulaca oleracea	1
Roman Chamomile	Anthemis nobilis	1
Rosary Pea	Abrus precatorius	1
Rosebay	Rhododendron spp	1
Rubrum Lily	Lilium speciosum	1
Running Myrtle	Vinca rosea	1
Sabi Star	Adenium obesum	1
Sacred Bamboo	Nandina domestica	1
Saddle Leaf	Philodendron bipennifolium	1
Sago Palm	Cycas revoluta, zamia species	1
Satin Pothos	Scindapsus pictus	1
Scented Geranium	Pelargonium sp.	1
Schefflera	Schefflera	1
Seaside Daisy	Erigeron speciosus	1
Seven Bark	Hydrangea arborescens	1
Shamrock Plant	Oxalis spp.	1
Shatavari	Asparagus densiflorus cv sprengeri	1
Showy Daisy	Erigeron speciosus	1
Silver Dollar	Crassula arborescens	1
Silver Jade Plant	Crassula arborescens	1
Skunk Cabbage	Symplocarpus foetidus	1
Snake Lilly	Iris species	1
Snake Plant	Sansevieria trifasciata	1
Solomon's Lily	Arum palestinum	1
Sorrel	Rumex scutatus	1
Sowbread	Cyclamen spp	1
Spanish Thyme	Coleus ampoinicus	1
Spindle Tree	Euonymus atropurpurea	1
Split Leaf Philodendron	Philodendron bipennifolium	1
Spotted Dumb Cane	Dieffenbachia amoena	1
Sprengeri Fern	Asparagus densiflorus cv sprengeri	1
Spring Parsley	Cymopterus watsonii	1
St. John's Wort	Hypericum perforatum	1
Staggerbush	Lyonia sp.	1
Starch Root	Arum maculatum	1
Stargazer Lily	Lilium orientalis	1
Starleaf	Brassaia actinophylla	1
Stinking Chamomile	Anthemis cotula	1
Straight-Margined Dracaena	Dracaena marginata	1
Striped Dracaena	Dracaena deremensis	1
Superb Lily	Gloriosa superba	1
Sweet Cherry	Prunus avium	1
Sweet William	Dianthus caryophyllus	1
Sweetheart Ivy	Hedera helix	1
Swiss Cheese Plant	Monstera deliciosa	1
Tahitian Bridal Veil	tradescantia multiflora	1
Tail Flower	Anthurium scherzeranum	1
Taro	Caladium hortulanum	1
Taro	Colocasia esculenta	1
Taro Vine	Epipremnum aureum	1
Tarragon	Artemisia dracunculus	1
Texas Umbrella Tree	Melia azedarach	1
Ti-Plant	Cordyline terminalis	1
Tiger Lily	Lilium tigrinum	1
Tobacco	Nicotiana glauca	1
Tomato Plant	Lycopersicon spp	1
Tree Philodendron	Philodendron selloum	1
Tree Tobacco	Nicotiana glauca	1
Tropic Snow	Dieffenbachia amoena	1
True Aloe	Aloe barbadensis	1
Trumpet Lily	Zantedeschia aethiopica	1
Tulip	Tulipa spp.	1
Umbrella Leaf	Podophyllum peltatum	1
Umbrella Tree	Brassaia actinophylla	1
Variable Dieffenbachia	Dieffenbachia picta	1
Variegated Inch Plant	Tradescantia flumeninsis	1
Variegated Laurel	Tradescantia flumeninsis	1
Variegated Philodendron	Scindapsus, Philodendron spp	1
Vinca	Vinca rosea	1
Virgin's Bower	Clematis sp.	1
Wahoo	Euonymus occidentalis	1
Wake Robin	Arum maculatum	1
Warneckei Dracaena	Dracaena deremensis	1
Water Flag	Iris species	1
Water Hemlock	Cicuta maculata	1
Wax-Leaf	Ligustrum japonicum	1
Weeping Fig	Ficus sp.	1
Western Yew	Taxus brevifolia	1
White Heads	Sphenosciadium capitellatum	1
Wild Arum	Arum palestinum	1
Wild Calla	Arum palestinum	1
Wild Carnation	Dianthus caryophyllus	1
Wild Coffee	Polyscias guilfoylei	1
Winter Cherry	Solanum pseudocapsicum	1
Winterberry	Ilex opaca	1
Wisteria	Wisteria spp.	1
Wood Lily	Lilium umbellatum	1
Yarrow	Achillea millefolium	1
Yellow Oleander	Thevetia peruviana	1
Yesterday, Today, Tomorrow	Brunfelsia species	1
Yew	Taxus spp.	1
Yew Pine	Podocarpus macrophylla	1
Yucca	Yucca spp.	1
Acorn Squash	Cucurbita pepo	0
African Daisy	Gerbera jamesonii	0
African Violet	Saintpaulia spp.	0
Algaroba	Prosopis limensis	0
Aluminum Plant	Pilea cadieri	0
Alumroot	Heuchera sanguinea	0
Alyssum	Alyssum spp.	0
American Rubber Plant	Peperomia obtusifolia	0
Amur Maple	Acer ginnala	0
Anthericum Comosum	Chlorophytum comosum	0
Antirrhinum Multiflorum	Antirrhinum multiflorum	0
Arabian Gentian	Exacum affine	0
Areca Palm	Dypsis lutescens	0
Aregelia	Neoregalia spp.	0
Artillery Plant	Pilea microphylla	0
Aspidium falcatum	Cyrtomium falcatum	0
Australian Pine	Araucaria heterophylla	0
Autumn Olive	Eleagnus spp.	0
Baby Rubber Plant	Peperomia obtusifolia	0
Baby's Breath	Gypsophila elegans	0
Baby's Tears	Hypoestes phyllostachya	0
Bachelors Buttons	Centaurea cyanus	0
Ball Fern	Davallia spp.	0
Bamboo	Phyllostachys aurea	0
Bamboo Palm	Chamaedorea elegans	0
Bamboo Vine	Smilax laurifolia	0
Banana	Musa acuminata	0
Banana Squash	Cucurbita maxima var. banana	0
Barberton Daisy	Gerbera jamesonii	0
Barnaby's Thistle	Centaurea solstitialis	0
